id,CandidatePreference ,PrimeResponse,Scorer 1_AngerExpressed,Scorer1_FearExpressed,Scorer 2_AngerExpressed,Scorer2_FearExpressed
42743,1,"One thing in particular that would make me angry would be if he got the opportunity to continue ""leading"" the country during a pandemic. That man has absolutely no idea how to handle a crisis and should not have been trusted to ""lead this country in the first place. All of his decisions, or lack thereof, regarding this pandemic have allowed things to escalate so that this country is among the highest in terms of cases and mortality rates and I would not be able to handle another four years with him being allowed to make decisions.",,,,
,4,,,,,
44528,1,"What makes me most afraid is his lack of concern for the entire population of the United States and how unprofessional he is. I'm scared that the state of the country will just get worse with no plausible plan to stop the spread of Covid-19, and no care for minorities in the country, just allowing more rifts to shape and more people to be unrightfully killed by police and not get justice. I'm scared that he will harm us in the worsening of climate change since he doesn't even believe it's real, and allow the country and state of the world to worsen. I'm scared for my future and if it is even ethical to have kids. ",,,,
44285,1,"I would be super concerned that he'd continue to dismantle the hardwork of the Obama administration. With Ruth Bader Ginsburg passing away, he has more potential to do even more harm in terms of the judicial system. People like me would likely continue to be targeted and there wouldn't be a lot of peace. Also if he continues for four more years, I imagine that there is definitely going to be more progress on that stupid wall.

",,,,
42891,1,"One thing that I think is really scary is that most presidents become more extreme in their second term because they no longer need to worry about public opinion for re-election. President Trump is a wild card. In his first term, he was erratic and inconsiderate of the public. His supreme court pick is a woman who disagrees with a woman's bodily autonomy. Trump has numerous allegations of sexual misconduct including one from a 13-year-old girl. I would never want to be in a room alone with him. He treats the pandemic like it's a hoax. He has made it abundantly clear that when things don't go his way, he will find any and every excuse to explain his loss. ",,,,
41785,1,"I think that since I am a minority female he has said things that are just very disrespectful to not only people of color, but people of different sexualities, and religions. I am a straight woman but again I am accepting of everyone. I don't find myself to be a religious person but again I find myself accepting of everyone. This might just be the way I was raised by the beliefs that he has do not align with what I believe in. I also think that he is not trying to progress us to move forward I think he would like it if women didn't have a say in anything which is why he is trying to shut down planned parenthood which is taking away many options for women not just with abortion but with many other accommodations that we have the right to. I think that his values are very localized on himself and moving himself forward but he does not seem to care about who he has to take down in order to get and stay at the top of his own game. ",,,,
45541,4,,,,,
45223,4,,,,,
44379,1,"Speaking as a woman, I am terrified of women's rights being taken away. Trump has said that he is against abortion and it seems that if he in elected again, they will take away women's contraceptive and abortion rights. This is awful and it scares me. Birth control is not just for sex and he does NOT understand that. Abortion makes sense in many situations and it is not up to anyone else to make this decision for women. It should only be their choice. For example, if a 12 year old girl got raped and got pregnant, she has a right to get an abortion. If this right is taken away, this poor girl will have to have this baby and that is so beyond messed up. Even writing this, it scares me. Also, I am afraid of Trump saying something dumb and offensive and risking our relationships with other countries in the world. Ever since he got elected, I think other countries see the United States as a joke and this is terrifying. Also, he has a short temper and this has been proven, so I am scared of him bombing countries that we have no business getting involved with. He does not think of his country first, he puts himself first and this is not what a president should do. ",,,,
43719,2,"What would make me most angry... It's sort of complex, and only really applies to me personally so I don't know if this would get anybody else riled up, but I'll do my best to explain. Ever since I was younger, I had certain intense sort of spiritual experiences that came, sometimes from reading books, (like Siddhartha, Catcher in the Rye, novels of Charles Bukowski,) sometimes while having conversations with my father, sometimes after being in a humiliating social situations, sometimes while doing nothing at all. These experiences all made me feel much closer to the world and the state of existence in general, but farther from other people. It seemed to me that everybody I knew acted in some sort of phony way and didn't really understand anything. I notice that much less now and have a much more optimistic view about people, but I still feel that I am hyper-attuned to people who don't properly think about the state of being, who are dishonest with themselves about what the truth really is. And to me, as someone who lives in a deeply liberal community, it seems like the liberal side of the political spectrum has run completely off the rails with regard to being honest with themselves and others about the true state of things. So, if Joe Biden wins, I feel it will be a victory for those people, and that makes me somewhat angry. Sorry that I couldn't go very in depth, it would probably take many more pages.",,,,
45501,1,"I am afraid that everything that is wrong with America will keep getting worse. Discrimination, the spread of COVID-19, and the impact of climate change are what makes me most concerned. Trump has made it clear that he will not denounce white supremacy and I fear that hate crimes and discrimination in general will increase if he wins. I am afraid that the pandemic will get worse in America and Trump will be hesitant to put the county back into lock down even if that is what is needed to stop the spread. I am afraid that the way he has spoken about scientists will make the public not trust them, so that when a vaccine finally comes out not enough people will get it. I am afraid that my loved ones will die of COVID-19 because of the way he is treating the pandemic. I am also afraid that his reluctance to act aggressively to combat climate change will make it worse and our environment and planet will suffer.  ",,,,
45432,1,"If he won, I would be most angry with how he evokes the worst out of so many people. People look up to his racist ways, which do not fly with me. Knowing that there is a chance he can win angers me, because to vote for Trump, you are racist. He promotes racism, and by voting for him, you are promoting racism. He is anti-immigrant, and immigrants are what make our country amazing and unique. Immigrants are hard-working and determined and motivated, and they do not take away from anyone's jobs or homes.",,,,
44483,1,"If Donald Trump wins the election, I would be most upset about how he might act with regard to LGBTQ+ rights. As a person in this community, I am now worried that our rights to a lawful marriage might be taken away from us. For the majority of my life, I have been able to imagine what I want my future to look like. Donald Trump has taken so much from us as Americans already, and it would make me the angriest if he were to allow this right to be taken from us. On the topic of how angry I would be if he revoked LGBTQ+ rights, I would also be EXTREMELY upset if he were to take away/support the idea of taking away our opportunity to adopt children. Children are also a big part of my imagined future. As minorities, we have been through so much as a community throughout history. People need to stop taking things from us.",,,,
44610,1,"I am afraid that if Trump is reelected basic human rights will be in danger. people part of the lgbtq community, especially transgender folks have suffered during his current presendancy.I also believe that the environment is at risk because he doesn't ""believe"" in climate change ",,,,
45308,1,"If Donald Trump wins the election, women, POCs, immigrants, and members of the LGBT+ community stand to lose their rights. Trump favors heterosexual white men, to the point of believing in their white supremacy (see: Proud Boys). If he wins, Planned Parenthood loses millions of dollars in funding, funding that would be used to provide safe reproductive healthcare, NOT JUST ABORTIONS. If he wins, women will most likely lose much autonomy over their bodies. If he wins, immigrants will be subject to even more of his cruel and racist abuse and possibly deported/hunted down by the government simply because Trump doesn't like the color of their skin, or their religion, or where they came from. If he wins, the LGBT+ community stands to lose the right to marriage. If he wins, the separation of church and state will never happen, and radical religion will continue to influence the decisions the government makes, decisions that will only benefit the people Trump wants them to benefit. If Donald Trump wins the election, we will witness the downfall of America.",,,,
41812,1,"If he wins the election I fear that we will not make any more strides towards environmental protection and dealing with climate change. I am concerned and scared since many prominent researchers say we only have about 7 years to reverse the damages of climate change and Donald Trump does not believe in it. Once time is up the World may start burning or we may have limited time on Earth before it dies out which will affect future generations to come. With COVID he has also shown how he just does not listen to the scientists or seem to put the American people first, and I believe he is very much a dictator and not good for our country. Donald Trump does not care about the American people and is just on a power trip. ",,,,
45202,4,,,,,
44086,1,"If Donald Trump were to win the 2020 Presidential Election, I personally would be upset about more general things. Since I'm not too well versed with political matters, many times I choose to not take a side or strictly identify as conservative or liberal. However, many of Donald Trump's actions that I've seen from his current presidential term greatly upset me. For example, his all too liberal and frequent use of social media—I can appreciate the attempt to be more than a faraway figure, but too much of what he says on Twitter sounds like uneducated, not thoroughly considered thoughts. Much of my early impression of him was that he was like a child, who said whatever he wanted to and whenever he wanted to, and I dread this continuing if he is re-elected. I also am greatly upset by his response to COVID-19, typically with so much scientific proof, so many scientists by his side, and so many people to consult and discuss with, I would've expected a better response to the pandemic. Instead, much of what Trump says is downplaying the virus. Regardless of the statistics, so-called facts, and his own beliefs that he broadcasts, I would hope that the president of the United States of America is not so flippant about the deaths of American people. While I understand that Donald Trump's background is as a businessman, and his ""tactics"" are very different from a politicians, too much of the time do I get the impression of an uneducated, inconsiderate man, when looking at the president. I believe that a president should strive to unify and strengthen the country, not say divisive and polarizing things, and act nonchalant towards a pandemic. What I see from Donald Trump currently, would all still upset me if he were re-elected.",,,,
45260,1,"I do not want Donald Trump to win the election. He is a racist.





















",,,,
45192,4,,,,,
45544,4,,,,,
43988,1,"The one thing that makes me the most afraid about the possibility of a 2nd Trump term is the hatred that will be spewed in this country. If Donald Trump wins, all of the racist, sexist, homophobic, ableist, classist, ect. hatred will become even more prevalent than it already is. If Donald Trump wins it will validate all of these feelings of superiority in groups who hold the most power.",,,,
,1,,,,,
44620,1,"It's hard to think of one thing that makes me most angry, but the first one that comes to mind is the white supremacist rhetoric that he seems to evoke in people. Trump's election was a direct response to Obama's presidency. Insecure, small-minded white people were afraid that their country was being led by a black man. They felt their world slipping away, so they voted for Trump because he explicitly ran on white supremacist values. I fear that the problems of police brutality and institutionalized racism in this country will continue to go unsolved, and probably get even worse. The biggest threat to the USA right now is right wing terrorist groups from our own country who do not want people of color, women, LGBTQ+ people to have rights and who are inspired by Trump's racism. If he wins again, I fear for all people in these categories, especially those who belong to multiple minorities (like trans women of color who are murdered at preposterous rates, another issue that will go unsolved with another Trump term).",,,,
45207,1,"The thing I am most afraid of if Donald Trump wins is the continued mockery of America and the ideals that were once important and represented in society. Hate and intolerance has become so normalized in the United States and I think a large part of it is because of Trump. He does little, if anything, to condemn white supremacists and does nothing to bring different communities together. Because of this separation, people are more likely to say negative things in public to absolute strangers. And most importantly this divide in views has impacted politics to the point where people are less focused on what candidates actually stand for, and more interested in the political party that they are affiliated with. The public will now vote for candidates simply if they have ""Democrat"" or ""Republican"" next to their name without knowing anything about their platform or their views. This is dangerous and needs to be changed. ",,,,
43698,4,,,,,
42529,4,,,,,
42191,1,"If Donald Trump wins the election, and his choice of US Supreme Senate is elected to replace the chair of Ruth Ginsburg, then I worry a lot about the fate of the Roe v Wade decision. The rights of a woman's body belong to that woman and that woman only, and I do not believe that anyone else should be able to make decisions around that. If Donald Trumps choice of senate is elected into office, then it is possible that enough chairs in the senate could agree to uplift the laws that came from Roe v Wade, which could outlaw abortion again at the federal level, making many states able to make it illegal again. This is something that is a thing of the past, along with a lot of Trumps beliefs, and they are not the mindset that we should be in. ",,,,
45362,1,"Donald Trump inspires hate crimes and the rise of white supremacist and radical groups. Donald Trump does not care about women's rights or minority groups. 
Donald Trump thinks the global pandemic that likely killed someone you know is a hoax.
Donald Trump doesn't care that the Earth is dying, and thus so are we and our children.
Donald Trump does not and will not take his position seriously.
Donald Trump does not and will not take your needs and the needs of this country seriously.",,,,
44648,1,"The most important trait about Trump that I hate is his attitude towards everything. This man is probably the only president in our history without any background with politics or government. As a businessman, his methods work. Unfortunately, our country is not his company and he should treat it more like a nation than one of his towers that he can suck money out of. He doesn't think things through and that is hurting our country more than we realize. I live in a good family where we have everything and are able to buy the things we need. However, our economy is dropping and he's not doing anything to help it. He is a hypocrite and does not keep to his words. His argument of Make America Great Again is a joke in this current campaign because we are in this terrible state due to his policies.",,,,
44581,1,"If Donald Trump were the win the 2020 presidential election, it'd leave me not only angry but as well as unhopeful about the future of the country. Ever since he took office, the country has gone to shit -- specifically with his response to the COVID-19 pandemic. When you take a look at the countries in Asia, they are doing dramatically better compared to the beginning of the pandemic. Some have even reached a point where masks are not longer mandatory and the daily cases have remained at zero. America could have been at same phase as them, however, the president chose to downplay the severity of the virus. He has fooled so many people into thinking the whole pandemic is a hoax when there are literal facts to prove how real and terrible it is. Trump have pushed so many Americans into the mindset to not to care for the people around them, people are so selfish now a days. We are regressing as a country.",,,,
42972,1,"I'm most afraid of our courts continuing to move in a conservative direction. I fear that the trajectory he has set for the courts currently puts many important supreme court cases, like Roe v Wade, at risk of being repealed. The rights of many marginalized groups, including latinos, African Americans, and LGBTQ+ people will also be at considerable risk. In summary, I'm afraid of seeing so much of the progress we have made as a society in terms of social acceptance being thrown away. Interpersonal relations will also take a turn for the worst, as I feel that a Donald Trump loss would only further radicalize his supporters and militias already willing to invoke violence in his name. ",,,,
40961,4,,,,,
44522,1,"he has no respect for people of color, people in the lgbtqia+ community, jews, women,  immigrants, people living in poverty, or literally anyone besides himself.",,,,
45517,1,"I am afraid because Donald Trump is not a good person. He is racist and a very selfish human being. I am afraid for the future of our country as he has been driving our country downward ever since he has been elected. He has many rape allegations against him and people still follow him and believe in him.
",,,,
45537,4,,,,,
40020,4,,,,,
45263,1,"One thing I am very afraid of if he wins the election is healthcare, especially as a women. Planned Parenthood, a service many women I know go for birth control and daily check ins with their body. I am one of those women who utilizes the services Planned Parenthood provides. If he wins, there's no access to their services. And as a someone who is under my mom's health insurance, I am no way ready to be on my one and find health insurance under my own name. I don't want to worry about my own healthcare insurance until way after I graduate college and have a real job that does provide insurance (since most insurances today are provided by your job).",,,,
,,,,,,
43726,1,"No progress at all. If not we will digress as a nation. He simply does not stand for all Americans and their best interest and that is not what this nation promised to all its people. 
Not that there will. be much of difference if Biden were to win but Biden at least has been working in politics for years. A lot of issues of the country are very irrelevant to Donald Trump. He carries no compassion at all.",,,,
